kegg_id,metatlas_inchi_key
C17009,AAABMNXUOFPYQK-WMBKCNCTSA-N
C01151,AAAFZMYJJHWUPN-TXICZTDVSA-N
C16746,AADVCYNFEREWOS-OBRABYBLSA-N
C18542,AAEVYOVXGOFMJO-UHFFFAOYSA-N
C15458,AAIGFEFEYXEACA-FCHUYYIVSA-N
C16324,AAJODOMQIUQTFG-XAICKWAHSA-N
C11936,AAKIIQMDPGWYFD-IHEBCORQSA-N
C09077,AALLCALQGXXWNA-QJNFORGASA-N
C17508,AALLCALQGXXWNA-VBFYFJBNSA-N
C12410,AAMCJNYIOAHDFN-BCCCWXECSA-N
C17773,AAOPKIFUFWCDQZ-CXXWFMJBSA-N
C17772,AAOPKIFUFWCDQZ-KEQINOFFSA-N
C12036,AAPHCFFPXJQKHX-XDMXBEBWSA-N
C06855,AAQOQKQBGPPFNS-UHFFFAOYSA-N
C08861,AASCKLXRKILUGL-KDVLELMDSA-N
C00296,AAWZDTNXLSGCEK-WYWMIBKRSA-N
C07004,AAXVEMMRQDVLJB-BULBTXNYSA-N
C09852,AAZRLGLWPJJDGC-KPYWPBPJSA-N
C06362,AAZZVFONLHYNDZ-NVQRUNIKSA-N
C07573,ABBQGOCHXSPKHJ-WUKNDPDISA-N
C04734,ABCOOORLYAOBOZ-KQYNXXCUSA-N
C12241,ABEASKLJNCROIZ-AXUOBQJMSA-N
C14585,ABGIIXRNMHUKII-DHZHZOJOSA-N
C12490///C08067,ABJKWBDEJIDSJZ-UHFFFAOYSA-N
C12080,ABLACSIRCKEUOB-UHFFFAOYSA-N
C06701,ABLZXFCXXLZCGV-UHFFFAOYSA-N
C10569,ABMMKLCVJJTPJD-LHSJRXKWSA-N
C02660,ABNDFSOIUFLJAH-UHFFFAOYSA-N
C08799,ABNDMUIXCBUBLO-REQJDAJISA-N
C18763,ABOOPXYCKNFDNJ-UHFFFAOYSA-N
C11327,ABQCCSJVPWLMPL-UHFFFAOYSA-N
C08611,ABTRFGSPYXCGMR-AXXBKCDFSA-N
C14059,ABTSKZKCMFRYNP-HUFPKKMTSA-N
C19483,ABVBOWJCKJGCJM-DMTCNVIQSA-N
C12137,ABVCUBUIXWJYSE-GQUPQBGVSA-O
C02916,ABXZOXDTHTTZJW-LBPRGKRZSA-N
C08577,ACAAVKGSTVOIQB-BASWHVEKSA-N
C08577,ACAAVKGSTVOIQB-UHFFFAOYSA-N
C11694,ACBLGRAOCIXXAL-UHFFFAOYSA-N
C00005,ACFIXJIJDZMPPO-NNYOXOHSSA-N
C14896,ACFSRZSOLKNILS-UHFFFAOYSA-N
C07036,ACGDKVXYNVEAGU-UHFFFAOYSA-N
C20564,ACGHJVZDNQZJOV-BMOJZYMJSA-N
C08039,ACGUYXCXAPNIKK-UHFFFAOYSA-N
C02893,ACIAHEMYLLBZOI-ZZXKWVIFSA-N
C18910,ACIVVGBVOVHFPQ-RPDRRWSUSA-N
C16421,ACKRRKSNOOISSG-VPENINKCSA-N
C08456,ACKWHAMNCLDPRO-UHFFFAOYSA-N
C18516,ACMXQHFNODYQAT-UHFFFAOYSA-N
C13782,ACNHBCIZLNNLRS-UBGQALKQSA-N
C17238,ACNQSIOMZUBKCK-FWSONLODSA-N
C17796,ACPMYIIORVILBG-UHFFFAOYSA-N
C05471,ACSFOIGNUQUIGE-AIPUTVCKSA-N
C00399///C11378,ACTIUHUUMQJHFO-UPTCCGCDSA-N
C13796,ACVGNKYJVGNLIL-UHFFFAOYSA-N
C09238,ACVGWSKVRYFWRP-UHFFFAOYSA-N
C05568,ACZFBYCNAVEFLC-UHFFFAOYSA-N
C08263,ACZVSMNFVFBOTM-UHFFFAOYSA-O
C11721,ACZWIDANLCXHBM-HRCADAONSA-N
C13851,ADAGRLDCCJAKFP-UHFFFAOYSA-N
C19351,ADAHGVUHKDNLEB-UHFFFAOYSA-N
C14944,ADBLJUDPXDJMMK-UHFFFAOYSA-N
C09434,ADBOAFOIAMBXJT-WBNZXOOCSA-N
C18639,ADCDIHNCUQOKFP-SVEJIMAYSA-N
C18243,ADCWUQBAGPEBME-UPHRSURJSA-N
C14131,ADFCQWZHKCXPAJ-GFCCVEGCSA-N
C13031,ADFOJJHRTBFFOF-RBRWEJTLSA-N
C10759,ADFWQBGTDJIESE-UHFFFAOYSA-N
C16334,ADGIRVMSHGGGHU-VITLBFIYSA-N
C20161,ADIDQIZBYUABQK-RWMBFGLXSA-N
C07359,ADIMAYPTOBDMTL-UHFFFAOYSA-N
C09970,ADIMMCHZVYYGPW-MSOLQXFVSA-N
C16498,ADJIOBLYKGQIDH-NOVLVJNXSA-N
C11359,ADKXZIOQKHHDNQ-QMMMGPOBSA-N
C06179,ADKXZIOQKHHDNQ-UHFFFAOYSA-N
C15927,ADMFWPBDASJZNU-SKHNUPMMSA-N
C06760,ADNFTGVUUFRKSK-IVGOSRDQSA-N
C09886,ADRPSBGLUHNVOU-INSRFAMQSA-N
C04706,ADSGHWJRPOXXTD-IHWYPQMZSA-N
C04729,ADSGHWJRPOXXTD-NSCUHMNNSA-N
C16422,ADSYMQORONDIDD-ZJHVPRRPSA-N
C10887,ADTULSGZUFJGNI-WSFKTYETSA-N
C07533,ADUKCCWBEDSMEB-NSHDSACASA-N
C00606,ADVPTQAUNPRNPO-REOHCLBHSA-N
C01045,ADZLWSMFHHHOBV-BYPYZUCNSA-N
C10077,AEDDIBAIWPIIBD-ZJKJAXBQSA-N
C16673,AEFLONBTGZFSGQ-VKHMYHEASA-N
C16726,AEFOLTVWSRMXMW-IXRXBBNISA-N
C16846,AEFOLTVWSRMXMW-LWINWCPBSA-N
C10854,AEFPCFUCFQBXDQ-UHFFFAOYSA-N
C18484,AEHJMNVBLRLZKK-UHFFFAOYSA-N
C14273,AEIJTFQOBWATKX-UHFFFAOYSA-N
C11663,AEJMLRVPTZEQEF-HISSRJBZSA-N
C00280,AEMFNILZOJDQLW-QAGGRKNESA-N
C00191,AEMOLEFTQBMNLQ-AQKNRBDQSA-N
C08348,AEMOLEFTQBMNLQ-DTEWXJGMSA-N
C06472,AEMOLEFTQBMNLQ-HNFCZKTMSA-N
C02024,AEMOLEFTQBMNLQ-VANFPWTGSA-N
C00333,AEMOLEFTQBMNLQ-YMDCURPLSA-N
C00160,AEMRFAOFKBGASW-UHFFFAOYSA-N
C15118,AENXIAWIJGWYCP-UHFFFAOYSA-N
C07665,AEOCXXJPGCBFJA-UHFFFAOYSA-N
C02890,AEQDJSLRWYMAQI-KRWDZBQOSA-N
C09409,AEQDXSFIHGWHDV-XPGAZNKBSA-N
C10349,AEQMIFRODRFTJF-SLFFLAALSA-N
C12144,AERBNCYCJBRYDG-KSZLIROESA-N
C16484,AERDYPVCYXMHIV-NTSWFWBYSA-N
C15449,AERGGMDNGDDGPI-HOTGVXAUSA-N
C14467,AERGGMDNGDDGPI-IYBDPMFKSA-N
C12622,AEUBLTTWYCDTGM-HXOXMVQHSA-N
C06984,AEUTYOVWOVBAKS-UWVGGRQHSA-N
C00630,AEWHYWSPVRZHCT-NDZSKPAWSA-N
C11675,AEXBRBWRPNGGEZ-FKBYEOEOSA-N
C19210,AFAIELJLZYUNPW-UHFFFAOYSA-N
C02299,AFBPFSWMIHJQDM-UHFFFAOYSA-N
C15253,AFBZBYQKIMBONK-RNXAVOFCSA-N
C15447,AFBZBYQKIMBONK-ZELOLHMESA-N
C18279,AFDHSXYOTGMEAP-UHFFFAOYSA-N
C05984,AFENDNXGAFYKQO-UHFFFAOYSA-N
C05984,AFENDNXGAFYKQO-VKHMYHEASA-N
C10305,AFHJQYHRLPMKHU-OSYMLPPYSA-N
